N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_42,Y_1_42,X_1_43,Y_1_43,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_47,Y_1_47,X_1_48,Y_1_48,X_1_24,Y_1_24,X_1_17,Y_1_17,X_1_23,Y_1_23,X_1_48,Y_1_48,X_1_24,Y_1_24,X_1_22,Y_1_22,X_1_1,Y_1_1,X_1_49,Y_1_49,X_1_2,Y_1_2,X_1_23,Y_1_23,X_1_39,Y_1_39,X_1_42,Y_1_42,X_1_9,Y_1_9,X_1_1,Y_1_1,X_1_44,Y_1_44,X_1_20,Y_1_20,X_1_48,Y_1_48,X_1_14,Y_1_14,X_1_30,Y_1_30,X_1_12,Y_1_12,X_1_46,Y_1_46,X_1_33,Y_1_33,X_1_3,Y_1_3,X_1_45,Y_1_45,X_1_3,Y_1_3,X_1_11,Y_1_11,X_1_47,Y_1_47,X_1_10,Y_1_10,X_1_34,Y_1_34,X_1_28,Y_1_28,X_1_4,Y_1_4,X_1_23,Y_1_23,X_1_32,Y_1_32,X_1_31,Y_1_31,X_1_22,Y_1_22,X_1_44,Y_1_44,X_1_17,Y_1_17,X_1_40,Y_1_40,X_1_1,Y_1_1,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_4,Y_1_4,X_1_1,Y_1_1,X_1_30,Y_1_30,X_1_11,Y_1_11,X_1_22,Y_1_22,X_1_50,Y_1_50,X_1_22,Y_1_22,X_1_25,Y_1_25,X_1_31,Y_1_31,X_1_5,Y_1_5,X_1_4,Y_1_4,X_1_9,Y_1_9,X_1_2,Y_1_2,X_1_7,Y_1_7,X_1_42,Y_1_42,X_1_26,Y_1_26,X_1_3,Y_1_3,X_1_39,Y_1_39,X_1_29,Y_1_29
50,99.17052481,-0.004891676925,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,98.69208132,-0.004824452543,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,101.022469,0.02361271165,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,102.7483303,0.01708393522,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,104.466236,0.01671954838,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,106.2771475,0.01733489755,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,108.5731533,0.02160394632,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,112.8724593,0.03959824228,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,114.7943445,0.01702705205,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
50,116.6646115,0.0162923264,7,0,4,1,3,3,6,3,7,3,4,4,5,4,6,4,2,5,3,5,4,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,2,0,3,NA,NA,2,3,6,2,0,0,NA,NA,2,0,5,3,6,5,NA,NA,2,1,1,0,NA,NA,4,3,NA,NA,2,2,1,5,7,1,NA,NA,7,5,5,0,NA,NA,6,0,3,2,NA,NA,1,2,NA,NA,5,5,0,1,0,5,NA,NA,NA,NA,7,4,NA,NA,2,4,NA,NA,3,0,5,1,4,2,3,1,4,0,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,3,4,1,1,0,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA
