N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_42,Y_1_42,X_1_43,Y_1_43,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_47,Y_1_47,X_1_48,Y_1_48,X_1_49,Y_1_49,X_1_50,Y_1_50,X_1_51,Y_1_51,X_1_52,Y_1_52,X_1_37,Y_1_37,X_1_1,Y_1_1,X_1_25,Y_1_25,X_1_14,Y_1_14,X_1_8,Y_1_8,X_1_27,Y_1_27,X_1_34,Y_1_34,X_1_25,Y_1_25,X_1_44,Y_1_44,X_1_33,Y_1_33,X_1_6,Y_1_6,X_1_35,Y_1_35,X_1_17,Y_1_17,X_1_5,Y_1_5,X_1_4,Y_1_4,X_1_10,Y_1_10,X_1_33,Y_1_33,X_1_8,Y_1_8,X_1_38,Y_1_38,X_1_34,Y_1_34,X_1_38,Y_1_38,X_1_52,Y_1_52,X_1_21,Y_1_21,X_1_26,Y_1_26,X_1_44,Y_1_44,X_1_38,Y_1_38,X_1_50,Y_1_50,X_1_44,Y_1_44,X_1_8,Y_1_8,X_1_32,Y_1_32,X_1_38,Y_1_38,X_1_38,Y_1_38,X_1_46,Y_1_46,X_1_35,Y_1_35,X_1_18,Y_1_18,X_1_8,Y_1_8,X_1_48,Y_1_48,X_1_24,Y_1_24,X_1_38,Y_1_38,X_1_15,Y_1_15,X_1_6,Y_1_6,X_1_1,Y_1_1,X_1_20,Y_1_20,X_1_36,Y_1_36,X_1_15,Y_1_15,X_1_12,Y_1_12
50,101.0353296,0.00374067955,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,100.3069555,-0.007209102363,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,101.0630638,0.007537944546,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,101.4796715,0.004122255133,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,100.5842678,-0.008823479108,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,101.2478695,0.006597470734,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,99.6859487,-0.01542670332,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,100.3691609,0.006853645479,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,99.42522721,-0.009404618194,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
50,99.08929614,-0.003378730763,2,0,3,0,7,0,1,1,3,1,1,2,2,2,3,2,5,2,6,2,7,2,3,3,7,3,2,4,3,4,5,4,6,4,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,1,3,6,1,0,1,6,3,7,4,4,3,NA,NA,0,5,6,0,4,5,4,2,5,0,4,0,7,1,7,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,NA,NA,3,5,NA,NA,2,3,2,1,1,0,2,5,NA,NA,1,4,0,3
