N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_21,Y_1_21,X_1_24,Y_1_24,X_1_16,Y_1_16,X_1_7,Y_1_7,X_1_50,Y_1_50,X_1_51,Y_1_51,X_1_51,Y_1_51,X_1_4,Y_1_4,X_1_7,Y_1_7,X_1_19,Y_1_19,X_1_35,Y_1_35,X_1_14,Y_1_14,X_1_41,Y_1_41,X_1_13,Y_1_13,X_1_23,Y_1_23,X_1_14,Y_1_14,X_1_41,Y_1_41,X_1_1,Y_1_1,X_1_34,Y_1_34,X_1_17,Y_1_17,X_1_26,Y_1_26,X_1_14,Y_1_14,X_1_16,Y_1_16,X_1_21,Y_1_21,X_1_6,Y_1_6,X_1_29,Y_1_29,X_1_14,Y_1_14,X_1_2,Y_1_2,X_1_17,Y_1_17,X_1_14,Y_1_14,X_1_14,Y_1_14,X_1_9,Y_1_9,X_1_13,Y_1_13,X_1_41,Y_1_41,X_1_40,Y_1_40,X_1_21,Y_1_21,X_1_5,Y_1_5,X_1_10,Y_1_10,X_1_1,Y_1_1,X_1_35,Y_1_35,X_1_37,Y_1_37,X_1_4,Y_1_4,X_1_18,Y_1_18,X_1_32,Y_1_32,X_1_29,Y_1_29,X_1_25,Y_1_25,X_1_14,Y_1_14,X_1_30,Y_1_30,X_1_21,Y_1_21,X_1_38,Y_1_38,X_1_21,Y_1_21,X_1_28,Y_1_28,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_19,Y_1_19,X_1_5,Y_1_5,X_1_9,Y_1_9,X_1_9,Y_1_9,X_1_29,Y_1_29,X_1_25,Y_1_25,X_1_22,Y_1_22,X_1_11,Y_1_11,X_1_10,Y_1_10,X_1_16,Y_1_16,X_1_9,Y_1_9
50,98.45148396,-0.01511976754,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,99.1795558,0.00739523477,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,99.07027527,-0.00110184533,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,99.52196354,0.004559271375,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,99.8543756,0.003340087446,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,101.14091,0.01288410662,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,101.3069285,0.001641457519,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,101.8474497,0.005335481206,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,101.9715317,0.001218312101,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
51,99.97282286,-0.0196006555,4,0,5,0,7,0,4,1,2,2,5,2,5,3,4,4,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,3,7,1,6,0,NA,NA,NA,NA,NA,NA,3,0,0,1,7,2,1,5,1,2,1,6,0,2,7,3,3,2,NA,NA,0,0,6,5,3,3,6,4,6,2,4,3,3,4,1,1,0,6,2,3,2,0,2,4,6,3,0,4,6,1,1,4,NA,NA,NA,NA,7,5,2,1,1,3,1,0,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,7,4,NA,NA,NA,NA,NA,NA,4,5,2,5,NA,NA,0,5
